b_327001	Eulemur_macaco,Alouatta_caraya,Galago_senegalensis	Theropithecus_gelada,Mandrillus_sphinx,Papio_hamadryas
b_327002	Macaca_silenus,Cercopithecus_neglectus,Papio_hamadryas	Varecia_variegata,Varecia_rubra,Microcebus_murinus
b_327003	Eulemur_macaco,Propithecus_coquereli,Cebuella_pygmaea	Alouatta_caraya,Macaca_fuscata,Macaca_fascicularis
b_327004	Galago_moholi,Varecia_rubra,Saimiri_sciureus	Trachypithecus_cristatus,Macaca_fuscata,Trachypithecus_auratus
b_327005	Hylobates_lar,Nycticebus_coucang,Saguinus_oedipus	Microcebus_murinus,Colobus_guereza,Callimico_goeldii
b_327006	Cercopithecus_neglectus,Galago_moholi,Sapajus_apella	Ateles_geoffroyi,Macaca_nigra,Callithrix_geoffroyi
b_327007	Mandrillus_sphinx,Colobus_guereza,Ateles_geoffroyi	Galago_moholi,Microcebus_murinus,Nycticebus_coucang
b_327008	Microcebus_murinus,Cebuella_pygmaea,Varecia_rubra	Galago_senegalensis,Galago_moholi,Eulemur_macaco
b_327009	Hylobates_lar,Nycticebus_pygmaeus,Cercopithecus_neglectus	Saguinus_bicolor,Microcebus_murinus,Saguinus_midas
b_327010	Gorilla_gorilla,Varecia_rubra,Nycticebus_pygmaeus	Propithecus_coquereli,Papio_hamadryas,Lemur_catta
b_327011	Macaca_silenus,Macaca_fascicularis,Nycticebus_pygmaeus	Callithrix_jacchus,Saguinus_bicolor,Saguinus_imperator
b_327012	Trachypithecus_auratus,Gorilla_gorilla,Cebuella_pygmaea	Lemur_catta,Macaca_fuscata,Macaca_nigra
b_327013	Galago_senegalensis,Gorilla_gorilla,Pan_troglodytes	Saguinus_bicolor,Trachypithecus_cristatus,Propithecus_coquereli
b_327014	Gorilla_gorilla,Macaca_silenus,Eulemur_macaco	Ateles_geoffroyi,Nycticebus_coucang,Saguinus_bicolor
b_327015	Nycticebus_coucang,Saimiri_sciureus,Propithecus_coquereli	Cercopithecus_neglectus,Colobus_guereza,Macaca_silenus
b_327016	Macaca_nigra,Trachypithecus_francoisi,Trachypithecus_cristatus	Alouatta_caraya,Sapajus_apella,Varecia_rubra
b_327017	Gorilla_gorilla,Nycticebus_pygmaeus,Macaca_fascicularis	Saguinus_midas,Galago_moholi,Galago_senegalensis
b_327018	Theropithecus_gelada,Eulemur_macaco,Varecia_variegata	Callithrix_geoffroyi,Trachypithecus_auratus,Cercopithecus_neglectus
b_327019	Microcebus_murinus,Papio_hamadryas,Trachypithecus_auratus	Galago_moholi,Nycticebus_pygmaeus,Varecia_rubra
b_327020	Papio_hamadryas,Microcebus_murinus,Trachypithecus_cristatus	Varecia_variegata,Nycticebus_pygmaeus,Propithecus_coquereli
b_327021	Alouatta_caraya,Saguinus_bicolor,Saguinus_oedipus	Nycticebus_pygmaeus,Cercopithecus_neglectus,Varecia_rubra
b_327022	Nycticebus_pygmaeus,Gorilla_gorilla,Lemur_catta	Papio_hamadryas,Trachypithecus_francoisi,Theropithecus_gelada
b_327023	Sapajus_apella,Cercopithecus_neglectus,Pan_troglodytes	Colobus_guereza,Varecia_variegata,Varecia_rubra
b_327024	Saguinus_bicolor,Microcebus_murinus,Trachypithecus_cristatus	Macaca_fascicularis,Papio_hamadryas,Macaca_fuscata
b_327025	Macaca_fuscata,Cercopithecus_neglectus,Colobus_guereza	Theropithecus_gelada,Microcebus_murinus,Saguinus_midas
b_327026	Galago_moholi,Nycticebus_coucang,Nycticebus_pygmaeus	Macaca_fuscata,Papio_hamadryas,Cercopithecus_neglectus
b_327027	Varecia_rubra,Leontopithecus_chrysomelas,Saguinus_imperator	Papio_hamadryas,Pan_troglodytes,Macaca_fuscata
b_327028	Ateles_geoffroyi,Nycticebus_pygmaeus,Pan_troglodytes	Varecia_variegata,Lemur_catta,Varecia_rubra
b_327029	Pan_troglodytes,Lemur_catta,Varecia_variegata	Theropithecus_gelada,Macaca_silenus,Macaca_nigra
b_327030	Nycticebus_pygmaeus,Galago_senegalensis,Macaca_nigra	Trachypithecus_cristatus,Saguinus_oedipus,Trachypithecus_francoisi
b_327031	Saguinus_bicolor,Hylobates_lar,Saguinus_oedipus	Trachypithecus_cristatus,Trachypithecus_francoisi,Trachypithecus_auratus
b_327032	Colobus_guereza,Papio_hamadryas,Macaca_silenus	Galago_senegalensis,Nycticebus_coucang,Galago_moholi
b_327033	Microcebus_murinus,Mandrillus_sphinx,Colobus_guereza	Cebuella_pygmaea,Varecia_variegata,Gorilla_gorilla
b_327034	Callithrix_jacchus,Mico_argentatus,Macaca_silenus	Microcebus_murinus,Propithecus_coquereli,Eulemur_macaco
b_327035	Sapajus_apella,Trachypithecus_francoisi,Pan_troglodytes	Ateles_geoffroyi,Galago_senegalensis,Galago_moholi
b_327036	Papio_hamadryas,Macaca_fascicularis,Colobus_guereza	Saguinus_bicolor,Saimiri_sciureus,Ateles_geoffroyi
b_327037	Pan_troglodytes,Trachypithecus_auratus,Gorilla_gorilla	Saguinus_bicolor,Varecia_variegata,Microcebus_murinus
b_327038	Varecia_rubra,Propithecus_coquereli,Lemur_catta	Galago_senegalensis,Nycticebus_pygmaeus,Colobus_guereza
